,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.data-container-id,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
24,12,SPAN,0.0,A.B7oRKe,Home,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[1]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11,A,0.0,DIV,Your saved items,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[2],0.0,,,,https://shopping.google.com/u/0/lists?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q_dMDCAUoAQ,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[2]/span[1],0.0,,,,,,,,,,,,,,,sucUyb e8oA2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,SPAN,0.0,A.B7oRKe,Your saved items,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[2]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11,A,0.0,DIV,Tracked products,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[3],0.0,,,,https://www.google.com/shopping/track?tbm=shop&authuser=0&prtrs=src:1&sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q-eAHCAYoAg,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[3]/span[1],0.0,,,,,,,,,,,,,,,sucUyb BGpacc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12,SPAN,0.0,A.B7oRKe,Tracked products,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[3]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11,A,0.0,DIV,Orders,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[4],0.0,,,,https://shopping.google.com/u/0/orders?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q_NMDCAcoAw,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[4]/span[1],0.0,,,,,,,,,,,,,,,sucUyb AgVHob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,12,SPAN,0.0,A.B7oRKe,Orders,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[4]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,A,0.0,DIV,Cart,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[5],0.0,,,,https://shopping.google.com/u/0/cart?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QgNQDCAgoBA,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[5]/span[1],0.0,,,,,,,,,,,,,,,sucUyb w17lFc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12,SPAN,0.0,A.B7oRKe,Cart,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[5]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,A,0.0,DIV,My Contributions,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[6],0.0,,,,https://customerreviews.google.com/user?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QnJ4FCAkoBQ,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[6]/span[1],0.0,,,,,,,,,,,,,,,sucUyb YsnyBe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,12,SPAN,0.0,A.B7oRKe,My Contributions,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[6]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,A,0.0,DIV,Settings,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[7],0.0,,,,https://shopping.google.com/u/0/settings?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q_tMDCAooBg,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[7]/span[1],0.0,,,,,,,,,,,,,,,sucUyb pFjJHd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,SPAN,0.0,A.B7oRKe,Settings,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[7]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11,A,0.0,DIV,About Google Shopping,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[8],0.0,,,,https://support.google.com/googleshopping/answer/9115668?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4QgdQDCAsoBw,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,SPAN,0.0,A.B7oRKe,,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[8]/span[1],0.0,,,,,,,,,,,,,,,sucUyb kqrYbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,SPAN,0.0,A.B7oRKe,About Google Shopping,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[8]/span[2],0.0,,,,,,,,,,,,,,,Oyvfce translate-content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,11,A,0.0,DIV,Help,0.0,0.0,/html/body/div[1]/div/div/div[1]/div/div/div[1]/div[3]/a[9],0.0,,,,https://support.google.com/googleshopping?sa=X&ved=0ahUKEwiFqL7ukNT3AhW9knIEHZNIDC4Q-tMDCAwoCA,,,,,,,,,,,B7oRKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
