File Name,Title,Price,Rating,ReviewCount,Links,Category,OpeningClosing,Address,Link
2.json,Aerostar Merv Pleated Air Filter,$43.70,Rated 4.4 out of 5,727,https://homeinspectorsecrets.com/hvac/furnace-filters/best-air-conditioner-filter-for-allergies/,Popular,,,
2.json,"Filtrete 16-in W x 1550 MPR Allergen, Bacteria and Virus Electrostatic Pleated Air Filter",$29.10,Rated 4.7 out of 5,792,N/A,Popular,,,
2.json,Lennox Healthy Climate 20x25x5 X6673 MERV 11 Filter,$194.99,Rated 4.8 out of 5,111,https://www.solidsmack.com/buying-guides/best-furnace-filters/,Popular,,,
2.json,Washable Air Filters,$113.13,N/A,N/A,https://www.airpurifierfirst.com/buying-guides/best-air-purifiers-with-washable-filter/,Popular,,,
2.json,1 Allergen Pleated FPR Air Filter,$17.97,Rated 4.4 out of 5,6k+,N/A,Popular,,,
2.json,Blueair Blue Pure Replacement Particle and Carbon Filter,$69.99,Rated 4.7 out of 5,1k+,"https://www.airpurifierfirst.com/review/blueair-blue-pure-411/#:~:text=You%20can%20quickly%20move,in%20almost%20any%20environment.",Popular,,,
2.json,Blueair Blue Pure Auto Pre-filter,$9.99,Rated 4.6 out of 5,25,N/A,Popular,,,
2.json,Lennox Y6605 PureAir PCO3-16-16 Air Purifier MERV 16 Filter Replacement,$97.56,Rated 4.9 out of 5,24,N/A,Popular,,,
2.json,Hathaspace Certified Replacement Filters for HSP001 Smart True HEPA Air Purifier,$39.99,Rated 4.9 out of 5,18,N/A,Popular,,,
2.json,Honeywell Home Cf200d1625 Air Filter,$29.98,Rated 4.5 out of 5,780,N/A,Popular,,,
2.json,Levoit Air Purifier Lv-h133-rf Replacement Filter,$62.99,Rated 5.0 out of 5,19,N/A,Popular,,,
2.json,CFS Cut to Fit Carbon Pad Pre Filter Roll for Air Purifiers Furnace Filters Trash Cans and Air Conditioner Filters,$18.93,N/A,N/A,N/A,Popular,,,
2.json,Winix Replacement Filter S for C545 Air Purifier 1712-0096-00,$59.99,Rated 3.7 out of 5,3,N/A,Popular,,,
2.json,Tri-Dim Filter Corp TriDim Tri-Pleat Ultra HVAC Pleated Air Filter,$60.29,N/A,N/A,N/A,Popular,,,
2.json,Airthereal Replacement True Hepa Filter for Pure Morning APH260 Air Purifier,$29.99,Rated 4.6 out of 5,103,N/A,Popular,,,
2.json,Filtrete Premium Allergen and Ultrafine Particles SIze True HEPA Air Purifier Filter FAPF,$44.98,Rated 4.6 out of 5,26,N/A,Popular,,,
2.json,Levoit LV-PUR131 Air Purifier Replacement Filter,$45.99,Rated 4.3 out of 5,37,https://www.techwalls.com/levoit-lv-pur131-air-purifier-with-hepa-filter-review/,Popular,,,
2.json,Honeywell POPUP Filter,$36.01,Rated 4.8 out of 5,366,N/A,Popular,,,
2.json,Hunter Fan Company Hunter H-hf400-vp Replacement Value Pack with HEPA EcoSilver Pre-Filter for HP400 Air Purifier Series,$29.99,Rated 4.1 out of 5,17,N/A,Popular,,,
2.json,Ace 20 in. W X 20 in. H X 1 in. D Cotton 8 MERV Pleated Air Filter 1 pk,$5.59,Rated 4.5 out of 5,2k+,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjTzs3jzf73AhXgbm8EHaIqBBkYABADGgJqZg&ohost=www.google.com&cid=CAASJeRo8vS11l2NtX3O7PeRh42_ZFs-hrHC2L7X-gADSxdbgMmEjAE&sig=AOD64_1H-7YQ81OXsGwc8jHmBZISBFD22Q&ctype=46&q=&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQzzkoAHoECAEQCw&adurl=,Sponsored,,,
2.json,"Flanders (4 Filters), 14 inch X 20 inch X 1 inch Precisionaire Nested Glass Air Filter, Size: 14x20x1",$5.98,Rated 4.5 out of 5,2k+,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjTzs3jzf73AhXgbm8EHaIqBBkYABAFGgJqZg&ohost=www.google.com&cid=CAASJeRo8vS11l2NtX3O7PeRh42_ZFs-hrHC2L7X-gADSxdbgMmEjAE&sig=AOD64_1E8VLuLMDa1-3OskM8Q4L9_ZflOw&ctype=46&q=&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQzzkoAHoECAEQEg&adurl=,Sponsored,,,
2.json,Broan Duct-Free Air Filter (Charcoal) | BPQTF,$16.99,Rated 4.3 out of 5,52,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjTzs3jzf73AhXgbm8EHaIqBBkYABAEGgJqZg&ohost=www.google.com&cid=CAASJeRo8vS11l2NtX3O7PeRh42_ZFs-hrHC2L7X-gADSxdbgMmEjAE&sig=AOD64_3WgJT7s3DHgze3CFIipsmoUSttrw&ctype=46&q=&ved=2ahUKEwj18MTjzf73AhXXNc0KHaRdAaoQzzkoAHoECAEQGA&adurl=,Sponsored,,,
