,depth,element,height,parentNode,text,width,x,xpath,y,attributes.content,attributes.name,attributes.data-iml,attributes.href,attributes.nonce,attributes.rel,attributes.type,attributes.data-ilt,attributes.data-oq,attributes.data-swh,attributes.data-ueh,attributes.jsaction,attributes.jscontroller,attributes.style,attributes.class,attributes.data-ved,attributes.aria-label,attributes.aria-hidden,attributes.role,attributes.tabindex,attributes.alt,attributes.data-atf,attributes.data-frt,attributes.src,attributes.action,attributes.autocomplete,attributes.id,attributes.value,attributes.autocapitalize,attributes.autocorrect,price,attributes.data-ogsr-up,attributes.data-ogsr-alt,attributes.data-ogsr-fb,attributes.aria-expanded,attributes.focusable,attributes.viewBox,attributes.target,attributes.data-align,attributes.data-class,attributes.data-parent-id,attributes.data-internal-precise,attributes.aria-pressed,attributes.data-url,attributes.eid,attributes.data-hveid,attributes.data-is-grid-offer,attributes.data-shntl,attributes.colspan,attributes.data-du,attributes.data-ei,attributes.data-ucsi
444,14,DIV,17.0,DIV.Ghlgfc,$8.99,146.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[1],774.0,,,,,,,,,,,,,,,vzbr7d,,,,,,,,,,,,,,,,$8.99,,,,,,,,,,,,,,,,,,,,,
445,14,A,17.0,DIV.Ghlgfc,Every Man Jack Body Wash ...,146.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/a[2],791.0,,,,"/shopping/product/11359241050551289906?prds=epd:13846103115325224712,oid:13846103115325224712,rsk:PC_9336945473723853399&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QrRIIXA",,,,,,,,,,,YTkbnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,15,DIV,17.0,A.YTkbnd,Every Man Jack Body Wash ...,146.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/a[2]/div,791.0,,,,,,,,,,,,,,,YmbeHb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,14,DIV,17.0,DIV.Ghlgfc,"(1,065)",146.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2],808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,15,DIV,12.0,DIV,,68.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2]/div,810.0,,,,,,,,,,,,,,,UzThIf,,4.5 out of 5 stars,,img,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,16,DIV,12.0,DIV.UzThIf,,68.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2]/div/div[1],810.0,,,,,,,,,,,,,,,YoSiqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,16,DIV,12.0,DIV.UzThIf,,62.0,1690.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2]/div/div[2],810.0,,,,,,,,,,,,,,width:62px,jmgV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,15,SPAN,15.0,DIV,"(1,065)",41.203125,1763.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2]/span,809.0,,,,,,,,,,,,,,,HiT7Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,16,A,15.0,SPAN.HiT7Id,"(1,065)",41.203125,1763.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2]/span/a,809.0,,,,/shopping/product/11359241050551289906?prds=rsk:PC_9336945473723853399&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QsBIIXQ#reviews,,,,,,,,,,,dxeoqc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,17,SPAN,15.0,A.dxeoqc,"(1,065)",41.203125,1763.0,//*[@id='related']/div[2]/div/div/div/div/span[10]/div/div[2]/span/a/span,809.0,,,,,,,,,,,,,,,,,"1,065 product reviews",,link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,6,SECTION,354.0,DIV.dPIF2d,"Recently viewedOnly you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.$20.55Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz$14.00Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2],785.0,,,,,,,,,,,,,,,KS6Dwf CUzmab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,7,DIV,24.0,SECTION.KS6Dwf.CUzmab,"Recently viewedOnly you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[1],904.0,,,,,,,,,,,,,,,AMxILd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,8,DIV,24.0,DIV.AMxILd,"Recently viewedOnly you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,9,DIV,18.0,DIV,Recently viewed,132.109375,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div/div[1],904.0,,,,,,,,,,,,,,,TyKKxb juqCy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,9,DIV,24.0,DIV,"Only you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.",12.0,178.109375,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div/div[2],904.0,,,,,,,,,,,,,,,AfEXhb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,10,SPAN,22.0,DIV.AfEXhb,"Only you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.",12.0,178.109375,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div/div[2]/span,905.0,,,,,,,,,,,,trigger.OedDfb,,,UkXZ5e,0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8Q5OcCCF4,Learn more about privacy,,button,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,11,DIV,12.0,SPAN.UkXZ5e,,12.0,178.109375,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div/div[2]/span/div,910.0,,,,,,,,,,,,,,background-image:url(/images/nav_logo321.webp);background-repeat:no-repeat;background-position:-107px -99px;height:12px;width:12px;display:inline-block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,11,SPAN,0.0,SPAN.UkXZ5e,"Only you can see this. To stop seeing your shopping history and manage your signed-out search activity, go to Settings. Items are saved for 7 days.",0.0,0.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div/div[2]/span/span,0.0,,,,,,,,,,,,,,display:none,pp-bubble-cont,,,,,,,,,,,,,,,,,,,,,,,,left,,,,,,,,,,,,,
462,12,A,0.0,SPAN.pp-bubble-cont,Settings,0.0,0.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[1]/div/div[2]/span/span/a,0.0,,,,https://history.google.com/history/optout?nzb=1&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8Q-9EBCF8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,7,DIV,195.0,SECTION.KS6Dwf.CUzmab,"$20.55Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz$14.00Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2],944.0,,,,,,,,,,,,,,,AspnF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,8,DIV,195.0,DIV.AspnF,"$20.55Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz$14.00Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div,944.0,,,,,,,,,,,,,,,sh-dc__carousel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,9,SPAN,0.0,DIV.sh-dc__carousel,,0.0,0.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/span[1],0.0,,,,,,,,,,,,,,,sh-dc__prev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,9,SPAN,0.0,DIV.sh-dc__carousel,,0.0,0.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/span[2],0.0,,,,,,,,,,,,,,,sh-dc__next,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,9,DIV,195.0,DIV.sh-dc__carousel,"$20.55Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz$14.00Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div,944.0,,,,,,,,,,,,,,,sh-dc__scroller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,10,DIV,193.0,DIV.sh-dc__scroller,"$20.55Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz$14.00Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces$9.25Vitabath Heavenly Coconut Creme Body Wash (10 fl oz)$89.00Vitabath Plus for Dry Skin Moisturizing Bath & Shower Gelee - Gallon$28.05Vitabath Moisturizing Bath & Shower Gelee, Spa Skin Therapy - 21 oz.",959.0,38.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div,946.0,,,,,,,,,,,,,,,vPB2fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,11,SPAN,189.0,DIV.vPB2fb,$20.55Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz,166.0,40.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1],946.0,,,,,,,,,,,,,,,ePrkM zjGH6d sh-dc__carousel-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,12,A,130.0,SPAN.ePrkM.zjGH6d.sh-dc__carousel-item,,150.0,48.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/a[1],954.0,,,,"/shopping/product/15955436903158115929?prds=epd:11837107797426058444,rsk:PROD_VAR_6164571000082208557&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QuZ0ECGEoAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,13,DIV,130.0,A,,150.0,48.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/a[1]/div,954.0,,,,,,,,,,,,,,,uynJBd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,14,DIV,130.0,DIV.uynJBd,,130.0,58.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/a[1]/div/div,954.0,,,,,,,,,,,,,,width:130px;height:130px,Gm1fk sh-img__image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,15,IMG,130.0,DIV.Gm1fk.sh-img__image,,130.0,58.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/a[1]/div/div/img,954.0,,,,,,,,,,,,,,,,,,,presentation,,,4,0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS6CLqGpkNloBJFDbrDD6yjh8qM3Aw8ERjziYixLhiLWw2mszEPGQvddvCiSxOdltOa0eKuidwwRrObhJovl0JlknLrTyx0_7LO_5nMhvDOzCfyJ-Xd_I5z&usqp=CAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,12,DIV,16.0,SPAN.ePrkM.zjGH6d.sh-dc__carousel-item,$20.55,150.0,48.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/div,1094.0,,,,,,,,,,,,,,,A1lKs,,,,,,,,,,,,,,,,$20.55,,,,,,,,,,,,,,,,,,,,,
475,12,A,17.0,SPAN.ePrkM.zjGH6d.sh-dc__carousel-item,Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz,150.0,48.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/a[2],1110.0,,,,"/shopping/product/15955436903158115929?prds=epd:11837107797426058444,rsk:PROD_VAR_6164571000082208557&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8Q3KAECGIoAQ",,,,,,,,,,,AIT31c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,13,DIV,17.0,A.AIT31c,Vitabath Moisturizing Lotion Plus for Dry Skin - 20 fl oz,150.0,48.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[1]/a[2]/div,1110.0,,,,,,,,,,,,,,,uHBBRe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,11,SPAN,189.0,DIV.vPB2fb,$14.00Vitabath Original Spring Green Mineral Bath Soak Salts 27 Ounces,166.0,214.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[2],946.0,,,,,,,,,,,,,,,ePrkM zjGH6d sh-dc__carousel-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,12,A,130.0,SPAN.ePrkM.zjGH6d.sh-dc__carousel-item,,150.0,222.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[2]/a[1],954.0,,,,"/shopping/product/7122385092484492284?prds=epd:13055522254455404812,rsk:PC_13925009831956330067&sa=X&ved=0ahUKEwigyMiQkdT3AhXKmHIEHQ3hDC8QuZ0ECGQoAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,13,DIV,130.0,A,,150.0,222.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[2]/a[1]/div,954.0,,,,,,,,,,,,,,,uynJBd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,14,DIV,130.0,DIV.uynJBd,,130.0,232.0,//*[@id='sg-product__pdp-container']/div/section[2]/div[2]/div/div/div/span[2]/a[1]/div/div,954.0,,,,,,,,,,,,,,width:130px;height:130px,Gm1fk sh-img__image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
