Index,Fields,Values
24.1.66.1,Popular_Title,Tarte Color Splash Lipstick Cha-Cha - New Beauty
24.1.67.1,Popular_Title,Tarte Amazonian Butter Lipstick - Full Size - Nwob Choose Shade
24.1.68.1,Popular_Title,Tarte Kiss & Makeup 5 Pc Amazonian Butter Lipstick Set
24.1.69.1,Popular_Title,Tarte Tarteist Creamy Matte Lip Paint
24.1.70.1,Popular_Title,Tarte Lipstick (full Size) - New Beauty | Color: Red
24.1.71.1,Popular_Title,Tarte Color Splash Lipstick Sea Goddess
24.1.72.1,Popular_Title,Tarte Lipstick And Liner Combo - New Beauty | Color: Red
24.1.73.1,Popular_Title,2 X Tarte Lipstick - Berry Cruiser - Glide & Go Buttery - Mini - .04oz
24.1.74.1,Popular_Title,Tarte The Lip Architect Lipstick & Liner - New Beauty
24.1.75.1,Popular_Title,Tarte Rainforest Of The Sea Lipstick - New Beauty
24.1.76.1,Popular_Title,Tarte Lipstick - New Lips | Color: Blue
24.1.77.1,Popular_Title,Tarte 3x TARTE LIPSTICK PINK LEMONADE - New Beauty | Color: Pink
24.1.78.1,Popular_Title,Tarte Amazonian Butter Lipsticks Full Sz. 0.10 Oz. U Choose Ur Shade
24.1.79.1,Popular_Title,"Tarte Rainforest Of The Sea ""escape"" Color Splash Lipstick: In Box"
24.1.80.1,Popular_Title,"Tarte Makeup | Bnwb, Tarte, Weekender, Lipstick Never Used, | Color: Orange/Red | Size: Os | Wheninrome's Closet"
24.1.1.2,Popular_Price,$20.00
24.1.2.2,Popular_Price,$21.00
24.1.3.2,Popular_Price,$11.88
24.1.4.2,Popular_Price,$21.00
24.1.5.2,Popular_Price,$24.00
24.1.6.2,Popular_Price,$10.00
24.1.7.2,Popular_Price,$21.00
24.1.8.2,Popular_Price,$14.00
24.1.9.2,Popular_Price,$14.00
24.1.10.2,Popular_Price,$7.00
24.1.11.2,Popular_Price,$63.07
24.1.12.2,Popular_Price,$19.00
24.1.13.2,Popular_Price,$20.00
24.1.14.2,Popular_Price,$9.95
24.1.15.2,Popular_Price,$5.94
24.1.16.2,Popular_Price,$12.00
24.1.17.2,Popular_Price,$8.00
24.1.18.2,Popular_Price,$16.00
24.1.19.2,Popular_Price,$21.00
24.1.20.2,Popular_Price,$3.00
24.1.21.2,Popular_Price,$29.74
24.1.22.2,Popular_Price,$14.85
24.1.23.2,Popular_Price,$25.30
24.1.24.2,Popular_Price,$8.00
24.1.25.2,Popular_Price,$4.50
24.1.26.2,Popular_Price,$19.00
24.1.27.2,Popular_Price,$20.00
24.1.28.2,Popular_Price,$21.00
24.1.29.2,Popular_Price,$16.00
24.1.30.2,Popular_Price,$18.00
24.1.31.2,Popular_Price,$9.00
24.1.32.2,Popular_Price,$10.00
24.1.33.2,Popular_Price,$10.00
24.1.34.2,Popular_Price,$16.00
24.1.35.2,Popular_Price,$29.00
24.1.36.2,Popular_Price,$18.00
24.1.37.2,Popular_Price,$20.00
24.1.38.2,Popular_Price,$100.00
24.1.39.2,Popular_Price,$14.99
24.1.40.2,Popular_Price,$69.99
24.1.41.2,Popular_Price,$21.00
24.1.42.2,Popular_Price,$10.50
24.1.43.2,Popular_Price,$19.99
24.1.44.2,Popular_Price,$21.99
24.1.45.2,Popular_Price,$19.38
24.1.46.2,Popular_Price,$9.00
24.1.47.2,Popular_Price,$10.00
24.1.48.2,Popular_Price,$12.00
24.1.49.2,Popular_Price,$15.00
24.1.50.2,Popular_Price,$12.00
24.1.51.2,Popular_Price,$59.99
24.1.52.2,Popular_Price,$18.00
24.1.53.2,Popular_Price,$21.99
24.1.54.2,Popular_Price,$5.99
24.1.55.2,Popular_Price,$9.00
24.1.56.2,Popular_Price,$15.00
24.1.57.2,Popular_Price,$24.00
24.1.58.2,Popular_Price,$9.99
24.1.59.2,Popular_Price,$15.00
24.1.60.2,Popular_Price,$10.00
24.1.61.2,Popular_Price,$17.00
24.1.62.2,Popular_Price,$8.00
24.1.63.2,Popular_Price,$10.00
24.1.64.2,Popular_Price,$12.00
24.1.65.2,Popular_Price,$9.00
24.1.66.2,Popular_Price,$12.00
24.1.67.2,Popular_Price,$22.35
24.1.68.2,Popular_Price,$139.99
24.1.69.2,Popular_Price,$42.99
24.1.70.2,Popular_Price,$9.00
24.1.71.2,Popular_Price,$12.60
24.1.72.2,Popular_Price,$9.00
24.1.73.2,Popular_Price,$11.50
24.1.74.2,Popular_Price,$9.00
24.1.75.2,Popular_Price,$16.00
24.1.76.2,Popular_Price,$15.00
24.1.77.2,Popular_Price,$15.00
24.1.78.2,Popular_Price,$19.99
24.1.79.2,Popular_Price,$9.99
24.1.80.2,Popular_Price,$15.00
24.1.1.3,Popular_Rating,Rated 4.3 out of 5
24.1.2.3,Popular_Rating,Rated 4.0 out of 5
24.1.3.3,Popular_Rating,Rated 4.6 out of 5
24.1.4.3,Popular_Rating,Rated 4.6 out of 5
24.1.5.3,Popular_Rating,Rated 4.4 out of 5
24.1.6.3,Popular_Rating,Rated 4.6 out of 5
24.1.7.3,Popular_Rating,Rated 4.6 out of 5
24.1.8.3,Popular_Rating,Rated 4.5 out of 5
24.1.9.3,Popular_Rating,Rated 4.3 out of 5
24.1.10.3,Popular_Rating,Rated 4.4 out of 5
24.1.11.3,Popular_Rating,Rated 4.4 out of 5
24.1.12.3,Popular_Rating,Rated 4.5 out of 5
24.1.13.3,Popular_Rating,Rated 4.4 out of 5
24.1.14.3,Popular_Rating,Rated 4.1 out of 5
24.1.15.3,Popular_Rating,Rated 4.4 out of 5
24.1.16.3,Popular_Rating,N/A
24.1.17.3,Popular_Rating,Rated 4.3 out of 5
24.1.18.3,Popular_Rating,N/A
24.1.19.3,Popular_Rating,Rated 4.6 out of 5
24.1.20.3,Popular_Rating,Rated 4.5 out of 5
24.1.21.3,Popular_Rating,N/A
24.1.22.3,Popular_Rating,Rated 4.4 out of 5
24.1.23.3,Popular_Rating,Rated 4.4 out of 5
24.1.24.3,Popular_Rating,N/A
24.1.25.3,Popular_Rating,Rated 4.4 out of 5
24.1.26.3,Popular_Rating,Rated 4.5 out of 5
24.1.27.3,Popular_Rating,N/A
24.1.28.3,Popular_Rating,Rated 3.8 out of 5
24.1.29.3,Popular_Rating,Rated 4.4 out of 5
24.1.30.3,Popular_Rating,Rated 4.4 out of 5
24.1.31.3,Popular_Rating,Rated 4.3 out of 5
24.1.32.3,Popular_Rating,Rated 3.8 out of 5
24.1.33.3,Popular_Rating,Rated 4.3 out of 5
24.1.34.3,Popular_Rating,N/A
24.1.35.3,Popular_Rating,N/A
24.1.36.3,Popular_Rating,N/A
24.1.37.3,Popular_Rating,Rated 4.6 out of 5
24.1.38.3,Popular_Rating,N/A
24.1.39.3,Popular_Rating,N/A
24.1.40.3,Popular_Rating,N/A
24.1.41.3,Popular_Rating,Rated 4.6 out of 5
24.1.42.3,Popular_Rating,Rated 4.4 out of 5
24.1.43.3,Popular_Rating,N/A
24.1.44.3,Popular_Rating,N/A
24.1.45.3,Popular_Rating,N/A
24.1.46.3,Popular_Rating,N/A
24.1.47.3,Popular_Rating,N/A
24.1.48.3,Popular_Rating,N/A
24.1.49.3,Popular_Rating,Rated 4.6 out of 5
24.1.50.3,Popular_Rating,N/A
24.1.51.3,Popular_Rating,N/A
24.1.52.3,Popular_Rating,N/A
24.1.53.3,Popular_Rating,N/A
24.1.54.3,Popular_Rating,N/A
24.1.55.3,Popular_Rating,N/A
24.1.56.3,Popular_Rating,N/A
24.1.57.3,Popular_Rating,N/A
24.1.58.3,Popular_Rating,N/A
24.1.59.3,Popular_Rating,N/A
24.1.60.3,Popular_Rating,N/A
24.1.61.3,Popular_Rating,Rated 5.0 out of 5
24.1.62.3,Popular_Rating,N/A
24.1.63.3,Popular_Rating,Rated 4.7 out of 5
24.1.64.3,Popular_Rating,N/A
24.1.65.3,Popular_Rating,N/A
24.1.66.3,Popular_Rating,N/A
24.1.67.3,Popular_Rating,N/A
24.1.68.3,Popular_Rating,N/A
24.1.69.3,Popular_Rating,Rated 5.0 out of 5
24.1.70.3,Popular_Rating,N/A
24.1.71.3,Popular_Rating,N/A
24.1.72.3,Popular_Rating,N/A
24.1.73.3,Popular_Rating,N/A
24.1.74.3,Popular_Rating,N/A
24.1.75.3,Popular_Rating,N/A
24.1.76.3,Popular_Rating,N/A
24.1.77.3,Popular_Rating,N/A
24.1.78.3,Popular_Rating,N/A
24.1.79.3,Popular_Rating,N/A
24.1.80.3,Popular_Rating,N/A
24.1.1.4,Popular_ReviewCount,9k+
24.1.2.4,Popular_ReviewCount,170
24.1.3.4,Popular_ReviewCount,5k+
24.1.4.4,Popular_ReviewCount,1k+
24.1.5.4,Popular_ReviewCount,2k+
24.1.6.4,Popular_ReviewCount,860
24.1.7.4,Popular_ReviewCount,5k+
24.1.8.4,Popular_ReviewCount,413
24.1.9.4,Popular_ReviewCount,747
24.1.10.4,Popular_ReviewCount,2k+
24.1.11.4,Popular_ReviewCount,1k+
24.1.12.4,Popular_ReviewCount,4k+
24.1.13.4,Popular_ReviewCount,383
24.1.14.4,Popular_ReviewCount,2k+
24.1.15.4,Popular_ReviewCount,6k+
24.1.16.4,Popular_ReviewCount,N/A
24.1.17.4,Popular_ReviewCount,855
24.1.18.4,Popular_ReviewCount,N/A
24.1.19.4,Popular_ReviewCount,1k+
24.1.20.4,Popular_ReviewCount,13
24.1.21.4,Popular_ReviewCount,N/A
24.1.22.4,Popular_ReviewCount,9k+
24.1.23.4,Popular_ReviewCount,1k+
24.1.24.4,Popular_ReviewCount,N/A
24.1.25.4,Popular_ReviewCount,544
24.1.26.4,Popular_ReviewCount,1k+
24.1.27.4,Popular_ReviewCount,N/A
